,label,text
3128,Architekturbüros,Zietz Gmbh - Baumaas - Architekturbüro
3650,Autowerkstätten,Kfz - Reparaturwerkstatt Di Salvo Kfz Werkstatt
11639,Gebrauchtwagen,Autozentrum Ehh Gmbh Tiemann
2791,Architekturbüros,Reidegeld Architekturbüro Niermann
22234,Unternehmensberatungen,Terapon Consulting Gmbh Beratung Im Gesundheitswesen Maiwald
8553,Elektrotechnik,Herbert Klein Efb-elektronik Gmbh
20629,Unternehmensberatungen,Artemisia Consulting Unternehmensberatung
12879,Handelsvermittler Und -vertreter,Landgraf Generalvertr.
8312,Elektrotechnik,Curamik Electronics Gmbh Esser
12230,Gebrauchtwagen,Robert Leonhard Autohaus Kösel Gmbh
16782,Restaurants,"Gaststätten, Restaurants - Gaststätte Prieße"
12781,Handelsvermittler Und -vertreter,Is Handelsgesellschaft Mbh
20566,Unternehmensberatungen,Aic-aerospace Industry Consulting Gmbh
22919,Vereine,Gerhard Zellner Conpart E.v.
12575,Handelsvermittler Und -vertreter,Eisenhauer Industrievertretung
4454,Dienstleistungen,Digital Service Center Bernard
24343,Vermittlungen,"Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Solaranlagenbau Frieß"
8336,Elektrotechnik,Dirk Schmidtke Innotech Electronic Gmbh Industrieelektronik
7955,Elektriker,Salz Elektroinstallation
16729,Restaurants,"Gaststätten, Restaurants - C&c Service - Dipl. Ing. Necmias Cais Ladenbau"
26246,Werbeagenturen,Aktiv Promotion Verkaufsförderungsagentur
23308,Vereine,Marcus Sommerfeld Die Bühne E.v.
17340,Restaurants,Paul Holzinger Creperie Du Palais
21465,Unternehmensberatungen,Jung Unternehmensberatung
10828,Friseure,Theodor Thom Urbacher Haarstudio
2890,Architekturbüros,Schultz-coulon Architekt
432,Allgemeinärzte,Landschein Facharzt Für Allgemeinmedizin
17037,Restaurants,Heinz Häring Moriki Gmbh Japanisches Restaurant
21962,Unternehmensberatungen,Punkt-i Consulting Ug
8918,Elektrotechnik,Siegel Elektrotechnik
13986,Hotels,Metzger Gmbh & Co. Solitaire Hotel U. Boardinghouse Betr.kg
6626,Edv,Sang Computersysteme Gmbh Computersysteme
22984,Vereine,Heiko Ruß Musichouse E.v.
21511,Unternehmensberatungen,Ke Associates Gmbh & Co. Kg Unternehmensberatung
498,Allgemeinärzte,Mizera Fachärztin Für Allgemeinmedizin Praxis Dipl.-med.
11515,Gebrauchtwagen,Autohaus Stoedter Gmbh Löwe
2112,Architekturbüros,Feddersen Gesellschaft Von Architekten Mbh Architekten Klose
16010,Physiotherapie,Physio Lounge Praxis Für Krankengymnastik
882,Apotheken,Apotheke Am Park Sternberg
6047,Edv,Döll Computerservice Kreativbüro Computerkomplettlösungen
17460,Restaurants,Restaurant Venezia
10768,Friseure,Späth Friseur Haar-design
11202,Gebrauchtwagen,Autohaus Credo Gmbh Knappe
1877,Architekturbüros,Auspurg Borchowitz Und Partner Architektur Und Stadtentwicklung Architekturbüro
3617,Autowerkstätten,Josef Gutzeit Lanio Kfz-reparaturen
19529,Tiefbau,Holz.bau.plan3d
27111,Werbeagenturen,"Werbung Gmbh, Inh. Wiegand, Sergius"
8218,Elektrotechnik,Alpha-elektronik Keine Anrede Karl
16064,Physiotherapie,Physiotherapie Im Krankenhaus Henrich
26616,Werbeagenturen,Idee + Form Gmbh Werbeagentur
6029,Edv,Doblander It-service
26833,Werbeagenturen,Papp Werbeagentur Gmbh
20086,Tiefbau,Reihl Baugeschäft Hohn
24128,Vermittlungen,Arndt Kranz Aktiv Auskunft Verbraucher-beratung Gmbh Verbraucherschutz
13175,Handelsvermittler Und -vertreter,Thomas Laumann Sprafke Industrievertr.
10172,Friseure,Jörg Liebe Thöner Friseur
14595,Maler,Herz Malerbetrieb Farben
20591,Unternehmensberatungen,Ambero Consulting Gmbh
19846,Tiefbau,M+b Massivbau Gmbh Bauunternehmen
47,Allgemeinärzte,Batze Allgemeinarzt Dr. Med.
13767,Hotels,Hotels - Hotel Fürstenhöhe Gmbh
